,Lower Bound,Upper Bound,Number of Dimensions,Population size,Parent size,Tournament size,Iterations,Mutation Rate,Mean Minima,Standard Deviation Minima,Minimum
0,-100,100,10,30,5,5,100,0.4,1666.68,1277.28,294.17
1,-100,100,10,30,5,5,100,0.8,1077.79,744.4,168.56
2,-100,100,10,30,10,5,100,0.4,-142.35,154.59,-363.93
3,-100,100,10,30,10,5,100,0.8,-34.46,134.7,-269.45
4,-100,100,10,30,5,10,100,0.4,420.7,400.95,-262.27
5,-100,100,10,30,5,10,100,0.8,303.62,478.11,-321.66
6,-100,100,10,30,10,10,100,0.4,-223.51,123.75,-402.75
7,-100,100,10,30,10,10,100,0.8,-309.02,106.73,-420.69
8,-100,100,10,100,10,5,100,0.4,332.73,356.31,-244.29
9,-100,100,10,100,10,5,100,0.8,230.32,270.15,-169.38
10,-100,100,10,100,10,10,100,0.4,-149.62,169.52,-356.81
11,-100,100,10,100,10,10,100,0.8,-146.75,117.25,-326.07
12,-100,100,10,100,40,5,100,0.4,-417.25,15.28,-437.35
13,-100,100,10,100,40,5,100,0.8,-329.63,42.78,-397.52
14,-100,100,10,100,40,10,100,0.4,-436.12,4.9,-443.32
15,-100,100,10,100,40,10,100,0.8,-427.14,10.21,-439.96
16,-100,100,10,100,10,5,300,0.4,-400.31,34.7,-438.8
17,-100,100,10,100,10,5,300,0.8,-320.2,56.15,-436.12
18,-100,100,10,100,10,10,300,0.4,-411.02,22.5,-440.67
19,-100,100,10,100,10,10,300,0.8,-413.3,25.67,-436.62
20,-100,100,10,100,40,5,300,0.4,-448.07,0.81,-449.44
21,-100,100,10,100,40,5,300,0.8,-416.12,16.33,-441.88
22,-100,100,10,100,40,10,300,0.4,-448.55,0.82,-449.55
23,-100,100,10,100,40,10,300,0.8,-448.0,1.08,-449.33
