,Lower Bound,Upper Bound,Number of Dimensions,Swarm size,Number of Informants,Iterations,Alpha ,Beta ,Gamma,Delta,Epsilon,Mean Minima,Standard Deviation Minima,Minimum
0,-5,5,10,30,5,100,0.5,1.3,1.3,1.4,0.5,-307.29,10.68,-318.65
1,-5,5,10,30,5,100,0.8,1.3,1.3,1.4,0.5,-313.34,6.24,-321.41
2,-5,5,10,30,5,100,0.5,1.3,1.3,1.4,0.8,-313.85,8.49,-320.05
3,-5,5,10,30,5,100,0.8,1.3,1.3,1.4,0.8,-289.91,11.22,-307.73
4,-5,5,10,30,5,100,0.5,1.0,1.4,1.6,0.5,-311.06,11.5,-322.04
5,-5,5,10,30,5,100,0.8,1.0,1.4,1.6,0.5,-313.54,8.78,-324.8
6,-5,5,10,30,5,100,0.5,1.0,1.4,1.6,0.8,-315.12,4.68,-323.02
7,-5,5,10,30,5,100,0.8,1.0,1.4,1.6,0.8,-286.6,10.85,-303.51
8,-5,5,10,30,5,100,0.5,1.0,1.0,2.0,0.5,-305.01,11.55,-318.01
9,-5,5,10,30,5,100,0.8,1.0,1.0,2.0,0.5,-301.07,14.83,-321.97
10,-5,5,10,30,5,100,0.5,1.0,1.0,2.0,0.8,-308.71,12.41,-322.04
11,-5,5,10,30,5,100,0.8,1.0,1.0,2.0,0.8,-283.7,17.45,-310.47
12,-5,5,10,30,10,100,0.5,1.3,1.3,1.4,0.5,-305.62,9.46,-318.0
13,-5,5,10,30,10,100,0.8,1.3,1.3,1.4,0.5,-312.71,5.81,-320.57
14,-5,5,10,30,10,100,0.5,1.3,1.3,1.4,0.8,-312.36,5.37,-321.04
15,-5,5,10,30,10,100,0.8,1.3,1.3,1.4,0.8,-290.34,11.64,-313.61
16,-5,5,10,30,10,100,0.5,1.0,1.4,1.6,0.5,-306.56,9.56,-320.78
17,-5,5,10,30,10,100,0.8,1.0,1.4,1.6,0.5,-309.36,5.78,-316.03
18,-5,5,10,30,10,100,0.5,1.0,1.4,1.6,0.8,-312.58,9.02,-327.23
19,-5,5,10,30,10,100,0.8,1.0,1.4,1.6,0.8,-282.35,7.89,-294.99
20,-5,5,10,30,10,100,0.5,1.0,1.0,2.0,0.5,-297.56,14.68,-314.94
21,-5,5,10,30,10,100,0.8,1.0,1.0,2.0,0.5,-315.45,4.08,-321.08
22,-5,5,10,30,10,100,0.5,1.0,1.0,2.0,0.8,-312.47,7.75,-323.03
23,-5,5,10,30,10,100,0.8,1.0,1.0,2.0,0.8,-285.89,11.63,-304.05
24,-5,5,10,100,10,100,0.5,1.3,1.3,1.4,0.5,-314.98,5.96,-321.04
25,-5,5,10,100,10,100,0.8,1.3,1.3,1.4,0.5,-321.05,3.93,-325.68
26,-5,5,10,100,10,100,0.5,1.3,1.3,1.4,0.8,-324.53,3.22,-328.01
27,-5,5,10,100,10,100,0.8,1.3,1.3,1.4,0.8,-298.8,10.17,-314.81
28,-5,5,10,100,10,100,0.5,1.0,1.4,1.6,0.5,-315.93,7.33,-327.02
29,-5,5,10,100,10,100,0.8,1.0,1.4,1.6,0.5,-316.33,8.52,-327.19
30,-5,5,10,100,10,100,0.5,1.0,1.4,1.6,0.8,-321.14,2.22,-324.03
31,-5,5,10,100,10,100,0.8,1.0,1.4,1.6,0.8,-293.11,11.47,-311.43
32,-5,5,10,100,10,100,0.5,1.0,1.0,2.0,0.5,-313.58,5.73,-323.04
33,-5,5,10,100,10,100,0.8,1.0,1.0,2.0,0.5,-312.47,7.3,-321.75
34,-5,5,10,100,10,100,0.5,1.0,1.0,2.0,0.8,-319.06,6.4,-325.03
35,-5,5,10,100,10,100,0.8,1.0,1.0,2.0,0.8,-295.32,9.18,-306.07
36,-5,5,10,100,40,100,0.5,1.3,1.3,1.4,0.5,-313.62,8.7,-326.01
37,-5,5,10,100,40,100,0.8,1.3,1.3,1.4,0.5,-312.9,8.97,-326.92
38,-5,5,10,100,40,100,0.5,1.3,1.3,1.4,0.8,-319.65,3.16,-326.02
39,-5,5,10,100,40,100,0.8,1.3,1.3,1.4,0.8,-296.2,7.19,-306.78
40,-5,5,10,100,40,100,0.5,1.0,1.4,1.6,0.5,-313.08,5.91,-323.03
41,-5,5,10,100,40,100,0.8,1.0,1.4,1.6,0.5,-311.91,7.32,-322.29
42,-5,5,10,100,40,100,0.5,1.0,1.4,1.6,0.8,-319.95,3.91,-325.03
43,-5,5,10,100,40,100,0.8,1.0,1.4,1.6,0.8,-296.38,8.12,-311.33
44,-5,5,10,100,40,100,0.5,1.0,1.0,2.0,0.5,-311.88,9.01,-325.03
45,-5,5,10,100,40,100,0.8,1.0,1.0,2.0,0.5,-315.82,4.26,-324.88
46,-5,5,10,100,40,100,0.5,1.0,1.0,2.0,0.8,-311.71,8.22,-324.03
47,-5,5,10,100,40,100,0.8,1.0,1.0,2.0,0.8,-292.66,11.13,-313.64
