Lower Bound,Upper Bound,Number of Dimensions,Swarm size,Number of Informants,Iterations,Alpha ,Beta ,Gamma,Delta,Epsilon
-100,100,10,30,5,100,0.5,1.3,1.3,1.4,0.5
-100,100,10,30,5,100,0.8,1.3,1.3,1.4,0.5
-100,100,10,30,5,100,0.5,1.3,1.3,1.4,0.8
-100,100,10,30,5,100,0.8,1.3,1.3,1.4,0.8
-100,100,10,30,5,100,0.5,1,1.4,1.6,0.5
-100,100,10,30,5,100,0.8,1,1.4,1.6,0.5
-100,100,10,30,5,100,0.5,1,1.4,1.6,0.8
-100,100,10,30,5,100,0.8,1,1.4,1.6,0.8
-100,100,10,30,5,100,0.5,1,1,2,0.5
-100,100,10,30,5,100,0.8,1,1,2,0.5
-100,100,10,30,5,100,0.5,1,1,2,0.8
-100,100,10,30,5,100,0.8,1,1,2,0.8
-100,100,10,30,10,100,0.5,1.3,1.3,1.4,0.5
-100,100,10,30,10,100,0.8,1.3,1.3,1.4,0.5
-100,100,10,30,10,100,0.5,1.3,1.3,1.4,0.8
-100,100,10,30,10,100,0.8,1.3,1.3,1.4,0.8
-100,100,10,30,10,100,0.5,1,1.4,1.6,0.5
-100,100,10,30,10,100,0.8,1,1.4,1.6,0.5
-100,100,10,30,10,100,0.5,1,1.4,1.6,0.8
-100,100,10,30,10,100,0.8,1,1.4,1.6,0.8
-100,100,10,30,10,100,0.5,1,1,2,0.5
-100,100,10,30,10,100,0.8,1,1,2,0.5
-100,100,10,30,10,100,0.5,1,1,2,0.8
-100,100,10,30,10,100,0.8,1,1,2,0.8
-100,100,10,100,10,100,0.5,1.3,1.3,1.4,0.5
-100,100,10,100,10,100,0.8,1.3,1.3,1.4,0.5
-100,100,10,100,10,100,0.5,1.3,1.3,1.4,0.8
-100,100,10,100,10,100,0.8,1.3,1.3,1.4,0.8
-100,100,10,100,10,100,0.5,1,1.4,1.6,0.5
-100,100,10,100,10,100,0.8,1,1.4,1.6,0.5
-100,100,10,100,10,100,0.5,1,1.4,1.6,0.8
-100,100,10,100,10,100,0.8,1,1.4,1.6,0.8
-100,100,10,100,10,100,0.5,1,1,2,0.5
-100,100,10,100,10,100,0.8,1,1,2,0.5
-100,100,10,100,10,100,0.5,1,1,2,0.8
-100,100,10,100,10,100,0.8,1,1,2,0.8
-100,100,10,100,40,100,0.5,1.3,1.3,1.4,0.5
-100,100,10,100,40,100,0.8,1.3,1.3,1.4,0.5
-100,100,10,100,40,100,0.5,1.3,1.3,1.4,0.8
-100,100,10,100,40,100,0.8,1.3,1.3,1.4,0.8
-100,100,10,100,40,100,0.5,1,1.4,1.6,0.5
-100,100,10,100,40,100,0.8,1,1.4,1.6,0.5
-100,100,10,100,40,100,0.5,1,1.4,1.6,0.8
-100,100,10,100,40,100,0.8,1,1.4,1.6,0.8
-100,100,10,100,40,100,0.5,1,1,2,0.5
-100,100,10,100,40,100,0.8,1,1,2,0.5
-100,100,10,100,40,100,0.5,1,1,2,0.8
-100,100,10,100,40,100,0.8,1,1,2,0.8
-100,100,10,100,10,300,0.5,1.3,1.3,1.4,0.5
-100,100,10,100,10,300,0.8,1.3,1.3,1.4,0.5
-100,100,10,100,10,300,0.5,1.3,1.3,1.4,0.8
-100,100,10,100,10,300,0.8,1.3,1.3,1.4,0.8
-100,100,10,100,10,300,0.5,1,1.4,1.6,0.5
-100,100,10,100,10,300,0.8,1,1.4,1.6,0.5
-100,100,10,100,10,300,0.5,1,1.4,1.6,0.8
-100,100,10,100,10,300,0.8,1,1.4,1.6,0.8
-100,100,10,100,10,300,0.5,1,1,2,0.5
-100,100,10,100,10,300,0.8,1,1,2,0.5
-100,100,10,100,10,300,0.5,1,1,2,0.8
-100,100,10,100,10,300,0.8,1,1,2,0.8
-100,100,10,100,40,300,0.5,1.3,1.3,1.4,0.5
-100,100,10,100,40,300,0.8,1.3,1.3,1.4,0.5
-100,100,10,100,40,300,0.5,1.3,1.3,1.4,0.8
-100,100,10,100,40,300,0.8,1.3,1.3,1.4,0.8
-100,100,10,100,40,300,0.5,1,1.4,1.6,0.5
-100,100,10,100,40,300,0.8,1,1.4,1.6,0.5
-100,100,10,100,40,300,0.5,1,1.4,1.6,0.8
-100,100,10,100,40,300,0.8,1,1.4,1.6,0.8
-100,100,10,100,40,300,0.5,1,1,2,0.5
-100,100,10,100,40,300,0.8,1,1,2,0.5
-100,100,10,100,40,300,0.5,1,1,2,0.8
-100,100,10,100,40,300,0.8,1,1,2,0.8
